# ID	Score
NC_000014.9:g.73950133G>A	-3
NC_000005.10:g.90629517A>C	0
NC_000011.10:g.89178183G>A	1
NC_000001.11:g.215674202C>T	0
NC_000011.10:g.69818917A>G	-3
NC_000006.12:g.44302438C>T	1
NC_000015.10:g.89667102G>A	-2
NC_000015.10:g.67165023C>T	0
NC_000011.10:g.13492453C>A	2
NC_000003.12:g.87276392G>A	-3
NC_000007.14:g.24285260T>C	-3
NC_000006.12:g.129402394C>T	-2
NC_000007.14:g.107710182G>A	0
NC_000002.12:g.178785999C>A	-2
NC_000013.11:g.32370513G>A	3
NC_000014.9:g.23430949A>C	-3
NC_000007.14:g.150951484C>T	1
NC_000011.10:g.128839231A>G	-1
NC_000008.11:g.93799678C>T	-1
NC_000007.14:g.30912043C>T	0
NC_000005.10:g.90653788C>T	-2
NC_000006.12:g.52053189G>C	-2
NC_000017.11:g.63941984A>C	-2
NC_000002.12:g.196319801G>T	2
NC_000001.11:g.100216040T>C	3
NC_000009.12:g.108917660T>C	0
NC_000011.10:g.17387083C>T	3
NC_000001.11:g.45014017C>T	0
NC_000011.10:g.72108672G>A	1
NC_000013.11:g.32379379G>C	0
NC_000021.9:g.46427705G>C	0
NC_000016.10:g.681468A>T	-3
NC_000019.10:g.41341955G>A	-1
NC_000008.11:g.64596755A>T	0
NC_000015.10:g.72346662T>C	1
NC_000006.12:g.169769610T>A	-3
NC_000023.11:g.153725709A>G	1
NC_000017.11:g.63942988T>C	1
NC_000017.11:g.30249058T>C	3
NC_000003.12:g.179199740G>A	1
NC_000011.10:g.108247072G>A	0
NC_000007.14:g.107683500A>G	1
NC_000019.10:g.50217692G>A	1
NC_000005.10:g.177994231G>A	-3
NC_000012.12:g.42469523C>T	1
NC_000004.12:g.88007816G>C	-2
NC_000019.10:g.12810323C>T	-3
NC_000023.11:g.77682661G>C	0
NC_000020.11:g.63406699G>A	-2
NC_000022.11:g.50523636G>A	0
NC_000009.12:g.2039793A>C	-1
NC_000017.11:g.80117606G>A	3
NC_000005.10:g.149896500T>G	0
NC_000001.11:g.7977728G>C	1
NC_000010.11:g.98420094T>C	1
NC_000009.12:g.127481185A>G	1
NC_000016.10:g.8811674C>T	-3
NC_000018.10:g.45626988G>T	-2
NC_000001.11:g.240208360G>A	-2
NC_000011.10:g.119097048T>C	3
NC_000003.12:g.184143455A>G	3
NC_000005.10:g.41159178C>A	-2
NC_000012.12:g.2585485C>T	-1
NC_000001.11:g.10337518T>C	-1
NC_000010.11:g.101010521T>C	1
NC_000009.12:g.132329729T>G	2
NC_000006.12:g.51632721C>T	3
NC_000003.12:g.10142080A>G	1
NC_000016.10:g.3731844G>T	-1
NC_000009.12:g.128946082G>C	-1
NC_000001.11:g.158717751C>T	2
NC_000017.11:g.14076859C>T	-3
NC_000011.10:g.5226683C>T	-1
NC_000022.11:g.16799801G>A	0
NC_000002.12:g.181678271G>T	-2
NC_000013.11:g.32333028A>G	1
NC_000012.12:g.49054680C>T	1
NC_000005.10:g.7891393C>G	-2
NC_000015.10:g.90749446T>A	2
NC_000006.12:g.51847961T>C	0
NC_000017.11:g.63968091G>A	-1
NC_000023.11:g.32411823A>C	-1
NC_000023.11:g.43949899G>A	-2
NC_000008.11:g.104424247C>A	-1
NC_000020.11:g.5302677A>C	-2
NC_000001.11:g.25805163G>A	-2
NC_000012.12:g.102894883T>A	-1
NC_000010.11:g.100824726C>T	-2
NC_000009.12:g.114478626C>T	-1
NC_000022.11:g.50074276G>T	0
NC_000023.11:g.108601436G>T	0
NC_000005.10:g.148101392A>G	1
NC_000017.11:g.63963708T>C	0
NC_000021.9:g.46397333C>T	-3
NC_000012.12:g.52515133T>C	0
NC_000019.10:g.36103502G>A	0
NC_000001.11:g.42929918G>A	-3
NC_000006.12:g.7565494A>T	0
NC_000002.12:g.178768759T>A	-3
NC_000022.11:g.37734465T>C	-3
NC_000002.12:g.189053896G>A	-3
NC_000021.9:g.42388518C>T	0
NC_000008.11:g.101599120C>T	-2
NC_000009.12:g.130480404C>T	-3
NC_000005.10:g.149980357G>A	-2
NC_000005.10:g.71634977G>T	-3
NC_000006.12:g.49447735C>T	0
NC_000021.9:g.46132295G>A	-2
NC_000008.11:g.22119197T>C	0
NC_000012.12:g.21542505T>C	0
NC_000018.10:g.23556269G>A	-1
NC_000014.9:g.23427716A>G	0
NC_000023.11:g.71223830G>C	2
NC_000012.12:g.123756823G>A	1
NC_000021.9:g.31667320A>G	-2
NC_000016.10:g.29798640C>T	-1
NC_000007.14:g.107675060T>A	-3
NC_000009.12:g.114403966A>G	0
NC_000019.10:g.43966820C>T	2
NC_000012.12:g.49039866C>T	1
NC_000012.12:g.5949823C>T	-2
NC_000007.14:g.107362361A>G	0
NC_000016.10:g.89739285G>A	0
NC_000015.10:g.51215771G>A	-3
NC_000003.12:g.132713165C>G	1
NC_000011.10:g.6390705T>C	0
NC_000013.11:g.32339667G>A	-1
NC_000023.11:g.139561592C>T	2
NC_000023.11:g.56565398C>T	-1
NC_000017.11:g.43051068G>A	-3
NC_000003.12:g.150972567T>C	1
NC_000006.12:g.32832635C>T	3
NC_000012.12:g.49963495A>G	1
NC_000006.12:g.49435569T>C	3
NC_000022.11:g.24095967C>A	2
NC_000002.12:g.55684985T>C	3
NC_000019.10:g.46756391C>T	-1
NC_000005.10:g.60898322T>C	-1
NC_000003.12:g.193648109A>G	-2
NC_000007.14:g.150947371C>T	1
NC_000015.10:g.72351215T>G	-1
NC_000001.11:g.215934786T>C	1
NC_000005.10:g.128393315T>C	0
NC_000011.10:g.78112745C>T	1
NC_000005.10:g.115813232C>T	-2
NC_000011.10:g.70206161T>G	-2
NC_000011.10:g.36573771C>T	0
NC_000006.12:g.32039109G>A	2
NC_000002.12:g.47476435G>C	-2
NC_000011.10:g.66871781T>A	-3
NC_000019.10:g.49932683C>T	-2
NC_000007.14:g.103553798A>C	-2
NC_000009.12:g.134796855A>G	1
NC_000015.10:g.42389001G>A	0
NC_000003.12:g.149210226A>G	-1
NC_000007.14:g.150947827G>A	0
NC_000012.12:g.49037164T>C	1
NC_000020.11:g.46726312G>T	-2
NC_000004.12:g.6300792G>A	3
NC_000013.11:g.32380044G>A	1
NC_000008.11:g.112337627C>T	-2
NC_000019.10:g.40397621G>A	0
NC_000019.10:g.39507492G>T	-2
NC_000015.10:g.73323445G>C	-2
NC_000007.14:g.150951810C>G	-2
NC_000009.12:g.108897159T>C	1
NC_000004.12:g.653912C>A	1
NC_000007.14:g.107701849T>G	-3
NC_000006.12:g.79916739C>G	2
NC_000020.11:g.18524556G>T	1
NC_000004.12:g.177438806G>C	1
